image_name,AudioTime,TeacherTime ,StudentTime ,StudentRate,STSilent,TeacherMean,StudentMean,TeacherQuarter,TeacherMedian,TeacherThreeQuarters,TeacherStd,StudentQuarter,StudentMedian,StudentThreeQuarters,StudentStd,Interaction,value
2026108736-1599050979,3837,1249,68,0.051632498,593,2.088628763,1.236363636,1,1,2,1.818526782,1,1,1,0.576182724,13,0
2026108736-1599562179,7198,2245,431,0.161061286,1246,1.933677864,1.446308725,1,1,2,1.565218172,1,1,2,0.695441965,78,0
2026108736-1599645750,7559,2309,9,0.003882657,426,5.407494145,1.285714286,1,3,7,5.934520642,1,1,1.5,0.487950036,4,0
2026108736-1600772405,3329,1235,190,0.133333333,535,2.450396825,1.544715447,1,2,3,1.907794997,1,1,2,1.11804889,31,0
2026108736-1602071372494,593,123,123,0.5,77,1.268041237,1.255102041,1,1,2,0.445240195,1,1,1,0.482929729,41,0
2026162402-1598959142,2823,385,91,0.191176471,281,1.486486486,1.151898734,1,1,2,0.886379936,1,1,1,0.361216165,24,0
2026162402-1599273561,5761,386,179,0.316814159,190,1.388489209,1.26056338,1,1,2,0.652800591,1,1,2,0.440495811,17,0
2026162402-1600173221,5243,2083,94,0.043178686,825,2.485680191,1.220779221,1,2,3,2.218454197,1,1,1,0.528736742,24,0
2026189769-1600514417858,1969,591,301,0.337443946,287,2.066433566,2.736363636,1,1,3,1.53980833,1,1,3,4.965342773,28,2
2026194430-1591612397172,3639,1024,405,0.283414976,416,2.813186813,2.025,1,2,3,2.640694824,1,1,2,1.749192204,60,2
2026198050-1591699733,4247,1315,742,0.360719494,489,3.442408377,2.363057325,1,2,5,2.97153291,1,1,3,2.196869298,61,2
2026199503-1591093220947,4959,984,643,0.3952059,523,2.954954955,1.984567901,1,2,4,2.651621648,1,1,2,1.518638423,65,2
2026202792-1591272217037,3010,1083,194,0.151918559,502,2.289640592,1.310810811,1,1,3,2.154675267,1,1,1,0.678647628,34,2
2026204955-1591012474095,3792,1557,640,0.291306327,584,3.005791506,2.68907563,1,2,4,2.739136314,1,2,3,2.615268053,40,2
2026207064-1591093826202,7228,1739,975,0.359248342,801,2.725705329,1.989795918,1,2,3,2.547199168,1,1,2,1.709440275,116,2
2026214892-1598955734,3011,271,160,0.371229698,246,1.272300469,1.134751773,1,1,1,0.659497281,1,1,1,0.434574639,37,0
2026214892-1599477436,7066,1991,596,0.230382683,1234,1.816605839,1.262711864,1,1,2,1.60766934,1,1,1,0.499306799,172,0
2026214892-1600337362,6713,2417,508,0.173675214,970,2.530890052,1.485380117,1,2,3,2.055273613,1,1,2,1.124802883,101,0
2026219341-1591611429805,3892,994,458,0.315426997,484,2.679245283,1.584775087,1,2,3,2.565272331,1,1,2,1.003765498,73,2
2026222064-1599050079212,415,89,125,0.58411215,73,1.271428571,1.582278481,1,1,1.75,0.479172855,1,1,2,0.981986408,32,0
2026224555-1592303812898,3831,1610,414,0.204545455,656,2.527472527,2.15625,1,2,3,2.271912595,1,1,3,2.103739503,67,2
2026228831-1591097525,4889,1829,436,0.192494481,637,2.767019667,1.602941176,1,2,3,2.847678754,1,1,2,1.647000681,67,2
2026228831-1592118853868,3967,1628,276,0.144957983,700,2.448120301,1.693251534,1,2,3,1.987331925,1,1,2,1.393686329,46,2
2026229676-1600428741910,4162,1077,895,0.453853955,537,3.273556231,2.647928994,1,2,4,3.341069248,1,2,3,2.425815382,47,2
2026229676-1617602622119,3558,674,278,0.292016807,289,2.868085106,1.853333333,1,2,3,3.199165649,1,1.5,2,1.14333004,29,0
2026230233-1592133956311,6844,2898,311,0.096914927,975,3.198675497,1.312236287,1,2,4,3.105553466,1,1,1,0.606792466,42,2
2026237904-1591790921050,2413,785,313,0.285063752,376,2.098930481,1.469483568,1,2,2,1.66604601,1,1,2,1.187695651,56,2
2026239669-1591005626328,688,227,102,0.310030395,104,2.121495327,1.397260274,1,1,2,1.789435878,1,1,2,0.701975902,22,2
2026239669-1591009132263,4495,2057,515,0.200233281,773,2.817808219,2.239130435,1,2,4,2.751921263,1,1,3,2.085349003,59,2
2026239669-1591270887478,4867,1801,776,0.30112534,799,2.320876289,2.026109661,1,1,3,2.40351941,1,1,2,1.743904045,102,2
2026239669-1591700437082,6457,2422,646,0.210560626,1050,2.149068323,1.527186761,1,1,2,2.014370336,1,1,2,1.167730971,155,2
2026239669-1592304865431,4150,978,1230,0.557065217,587,2.243119266,2.303370787,1,2,3,1.960664535,1,2,2.75,2.291535093,103,2
2026240734-1591009951201,3539,1211,360,0.229153405,517,2.319923372,1.525423729,1,2,3,1.899374984,1,1,2,0.965021128,77,2
2026240734-1591610635984,5983,1632,554,0.253430924,639,2.775510204,1.747634069,1,2,3,2.862066821,1,1,2,1.558775409,64,2
2026240734-1591783899948,4480,1572,828,0.345,667,2.624373957,1.87755102,1,2,3,2.531567964,1,1,2,1.816207184,98,2
2026334223-1591354872959,4004,1236,294,0.192156863,541,2.602105263,1.25106383,1,2,3,2.584356499,1,1,1,0.570601849,61,2
2026346504-1591010635662,1257,472,158,0.250793651,216,2.126126126,1.755555556,1,2,3,1.620664727,1,1,2,1.455799029,37,2
2036156264-1591094205881,3961,1566,264,0.144262295,526,2.821621622,1.5,1,2,3,2.915581365,1,1,1,1.469693846,84,2
2036174034-1617110573,2211,934,367,0.282090699,420,2.747058824,1.941798942,1,2,4,2.026554583,1,1,2,2.329687894,83,2
2036187133-1617106583647,1934,853,180,0.174249758,309,2.640866873,1.525423729,1,2,3,2.749557027,1,1,2,1.067882836,45,2
2036194122-1600860249493,4646,1426,1039,0.421501014,702,2.238618524,3.101492537,1,2,3,1.858065025,1,1,4,3.806136415,81,2
2036201042-1615381088979,3867,926,1472,0.613844871,503,3.215277778,4.242074928,1,2,4,2.907788878,1,3,6,3.962857068,28,0
2036217146-1592306495957,5718,1803,397,0.180454545,788,2.391246684,1.327759197,1,2,3,2.036709005,1,1,1,0.772600417,86,2
