2026108736-1599050979,87,15,13
2026108736-1599562179,136,27,78
2026108736-1599645750,183,1,4
2026108736-1600772405,74,18,31
2026108736-1602071372494,4,32,41
2026162402-1598959142,85,8,24
2026162402-1599273561,127,78,17
2026162402-1600173221,105,19,24
2026179244-1616223216306,107,31,92
2026186390-1605875758413,44,46,73
2026189769-1600514417858,25,6,28
2026194430-1591612397172,80,10,60
2026198050-1591699733,90,69,61
2026199503-1591093220947,146,8,65
2026202792-1591272217037,71,34,34
2026204955-1591012474095,93,16,40
2026207064-1591093826202,156,22,116
2026214892-1598955734,98,18,37
2026214892-1599477436,127,45,172
2026214892-1600337362,158,53,101
2026219341-1591611429805,89,15,73
2026222064-1599050079212,0,18,32
2026224555-1592303812898,71,27,67
2026228831-1591097525,96,45,67
2026228831-1592118853868,78,15,46
2026229676-1600428741910,117,9,47
2026229676-1615622295341,52,3,7
2026229676-1616248395120,12,4,5
2026229676-1617524264953,69,4,60
2026229676-1617592161506,113,4,17
2026229676-1617602622119,106,10,29
2026230233-1592133956311,183,26,42
2026237904-1591790921050,34,45,56
2026239669-1591005626328,9,20,22
2026239669-1591009132263,97,30,59
2026239669-1591270887478,95,96,102
2026239669-1591700437082,107,109,155
2026239669-1592304865431,66,41,103
2026240734-1591009951201,67,29,77
2026240734-1591610635984,155,27,64
2026240734-1591783899948,65,56,98
2026242996-1619610462948,20,14,16
2026242996-1619943975734,62,10,34
2026274094-1607151462901,95,10,31
2026324502-1604119331097,81,19,42
2026334223-1591354872959,98,36,61
2026346504-1591010635662,9,7,37
2026354170-1599396082145,2,1,5
2026362344-1616221647328,7,2,5
2036126506-1615718845080,26,5,7
2036156264-1591094205881,92,1,84
2036174034-1617110573,39,6,83
2036178192-1617494370982,96,31,84
2036187133-1603021538646,18,0,12
2036187133-1617106583647,29,10,45
2036187133-1617708881183,38,12,31
2036193165-1623672609,23,26,63
2036193165-1623758875,15,20,86
2036194122-1600860249493,89,26,81
2036194122-1601773932695,14,9,22
2036198998-1606048380,72,7,51
2036198998-1606653629,41,7,11
2036198998-1616223948,29,16,21
2036199364-1617802993253,11,14,14
2036199364-1618665262139,12,59,63
2036200507-1604401652781,11,5,9
2036201042-1615381088979,124,29,28
2036211157-1617626978531,46,14,40
2036214982-1607169754378,109,17,102
2036217146-1592306495957,119,15,86
2036225744-1616760107973,98,22,145
2036225851-1616418944934,71,0,0
2036225851-1616499697897,34,15,30
2036225851-1616674757944,138,19,19
2036225851-1620194630361,308,45,73
2036228983-1615552279532,79,15,51
2036235395-1605358401,110,6,44
2036236435-1591611632765,158,24,74
2036236435-1616238373276,88,19,32
2036238066-1621643412,73,4,88
2036238066-1621648857,38,8,58
2036243186-1615895874851,68,0,0
2036243186-1616924021740,46,11,35
2036244404-1615462742540,49,35,54
2036244404-1615698949024,101,1,2
2036244404-1616827657665,64,35,47
2036244960-1619257761526,13,2,5
2036245392-1599046762538,72,32,38
2036245741-1603588755008,12,1,4
2036248456-1620115092,25,8,23
2036248673-1617368316622,70,13,36
2036249007-1622122824881,41,7,16
2036249217-1615981258490,88,38,20
2036249217-1616920546752,47,24,20
2036249617-1618103603938,24,15,68
2036249766-1618140732538,154,3,74
2036249877-1608119394614,108,3,24
2036253702-1623240451480,102,49,137
2036254307-1607433032,147,1,26
2036254755-1615634962286,60,42,134
2036254755-1616157020052,87,47,101
2036254755-1617020550381,33,11,81
2036254772-1607600229726,51,2,0
2036255476-1617584393503,148,11,48
2036255970-1617454267745,85,10,56
2036255970-1618231514497,81,12,62
2036255970-1619010301029,61,6,31
2036255987-1591611050230,89,11,41
2036256982-1619012211214,13,16,43
2036257260-1619242779706,169,12,11
2036257336-1617408762685,123,27,94
2036257336-1617581816503,92,15,91
2036257896-1592131420307,151,6,56
2036258383-1608961798062,3,1,7
